formula,target
Al2Co1O4,5.4135
As2H6O11U1,3.4210000000000003
As1Li3S3,2.2817
Cr2Mn1O4,3.2627
Ce1O1Sb1Zn1,0.2091
Al2O7Rb2Sb2,3.5887
F3I1O1,3.6443
Cs6O7Si2,3.1805
Fe3O7P1,1.9343
Al5C3N1,1.4366
P1Ru1S1,0.667
C24F20Sn1,3.2384
B1Fe3O5,0.5244
O7Ti4,1.4732
Fe1O3Y1,1.2673
Cu2Na2O6Te1,1.393
Li1Mn1O2,3.2871
Ga2Sr1Te4,0.4035
Mo1N4Sr3,2.0393
C5Cu2H8N4,2.7643
Br2C4Fe1Hg2O4,2.967
Cl4Co1Rb2,4.0106
Cl5Co1Tl3,2.7726
B2O3,6.2644
B4O11Sc2Sr2,4.6433
Br6Nb2Se2,2.3597
H1K2N1O6S2,5.0999
Na2O7W2,2.2195
Al1Cu1O2,2.015
Cl4Ge1,4.0077
H14Na1O24P8Sc3,5.4016
Na5O10P3,4.5799
O7Rb6Si2,3.1444
Ce1O4P1,1.9702
B7Cl1Mg3O13,5.9191
Li1Mg1N1,2.1877
Cu2Mn1S4Sn1,0.1226
Fe2Rb6S6,1.4243
Ge1In2Li2Se6,1.1338
Ba3Fe3Nb1O14Si2,2.4653
As2O7Rb1Sc1,3.5115
Ge5Mg14O24,3.3866
B3Mg5O12Ta1,3.9645
K1O3Sb1,1.1259
Be4H2O9Si2,5.7582
Ga2O4Sr1,3.1547
Cl2Cu1,0.8284
Se1Zn1,1.6977
H3K1O6S1,4.5928
Li1O4P1Pb1,3.5189
Dy2O11Te4,3.2351
Cu1La1O1S1,2.0312
Br3C2H8Hg1N1,2.5314
Al1K2Li1P2,1.9014
Ag1Bi1Te2,0.2385
Br5Ru1Y4,0.2364
Cu3S4Ta1,2.1607
As2Cd4I3,1.2042
Br1H10O8P3U1,1.6755
N2Te1U2,1.0616
Ho3O7Ta1,3.6264
Co1O2,1.8677
C3Lu2N6,3.7502
Nb1O5P1,3.3913
Cs2Ge3O9Sn1,2.3899
F6Hf1K2,6.8097
As1O1Y1Zn1,1.1875
Ba1Ca2N12P6,4.0771
Bi2O5Te1,2.4396
Er1N1,0.1228
O5S1Ti1,2.9758
Cd1P14Sn1,1.3908
H8O12Si8,6.3701
As1O3Sb1,0.9374
Al5O12Yb3,0.6187
F1,0.0512
Gd1Ge1Na1O4,3.4817
Cl3Gd2,0.2305
C2Cu1K1N2,3.0253
Ba1F7Fe1Zn1,3.609
Bi4I2Ru1,0.534
O8Sr3V2,3.6651
Cl1Mg2O4P1,5.0386
Cl3Cr1,2.5238
Er2O3,3.9657
Co1Ge1O3,1.9844
C4F12N2O8S4Sr1,6.2087
C7Cr1F2H1N1O5,3.5322
Ca1Co1O7P2,3.9782
Ca1H3Li1,2.5543
F5H2K2O1V1,2.0418
La5N1O2S4,1.3278
Ca1Ho2S4,1.5425
Ge2Hg3K2Se8,0.9913
S2Sc1Tl1,1.0104
C1Sn1,0.0914
B3Bi1O6,3.9421
Bi1I1Se1,1.5595
Nd2O7Pt2,1.3734
Gd2Se3,0.1791
Ag8Ge1S6,0.8209
Ba1Co4Ho1O7,0.4798
O7Pr3Re1,0.6104
Ba3S5Ti1,1.3784
Cd1Cs1Ho1Te3,1.5659999999999998
I3O1W1,0.5627
F6Ni2Rb1,0.9479
As2Ba1Ga2,1.2435
Au2Cd1F12,1.9875
I1N1Sr2,1.7861
Cs3F5Li2,5.7901
Au1O8Rb1Se2,1.5684
Cs2I14Mo6,2.2272
Bi2O9Sr1Ta2,2.0647
Ce1P2,0.3461
Ga3Ru1,0.3056
B1H10Li4N3,3.574
Cl2Co1H4O2,3.5925
Ba2Na1Ni3O6,1.0629
Ce2O3,2.821
Cu1Dy3Ge1S7,1.8863
Ce2S3,0.8513
Cr1Li1O2,4.1076
Br1Cu1Se3,1.1756
Cl1O4S1Tl1Zn1,4.5567
As2Cl1La3O7,3.1831
Cl3S8Sb1,2.8329
Ag1In5Te8,0.3419
Ca1H1O4P1,5.4256
Ba3P4,0.4786
Hf1O2,4.0088
Cd1O14P4V2,1.8051
Ca6Mn1N5,0.9448
C5H1Mn1O5,4.2566
Ce1Li1O2,2.8852
Ba7Ir6O19,0.2749
Ba1Er2Ni1O5,2.0022
Cu1O6Pt1Sr3,1.25
Cl3H3N1Sc1,4.2188
K1O13P4Ta1,3.8416
Cl9Nb1Te1,2.3882
F1Fe1O3Sr2,0.6948
Br1Rb1,3.9573
B2O6Sr3,4.3897
Au1F12Sb2Xe2,1.5712
Bi2O7Sn2,2.6206
C2F6H3O4Sb1,3.2836
C1K2N2,3.172
Ca9Fe1O28P7,2.0715
O4Sb2Zn1,2.5812
Ba2Nb2O10Te1,3.0152
Ba4Ga5Li1Se12,1.7821
Cr1N4Sr3,1.6777
Au3Sb4Tb3,0.4553
B4La1O12Sc3,4.6502
Ba1Cu1Nd1S3,1.1042
Cl4Cr2H34N8O6,0.4291
C1O3Pb1,3.3938
Cl5Cs2Fe1H2O1,2.2292
Ag2C4Cu1N4Rb1,2.6672
Ba4Na1O12Sb3,1.5144
Cl6K2Pd1,1.1208
Au1Rb2S4Sb1,1.6334
N2Na1Ta1,1.4444
As2Cu3H2O10Pb1,1.4757
Nb2O6Zn1,3.6269
Ca1Cu3O12Sn4,0.7976
H3Li4Mg1N3,2.6161
Cr1Si2,0.9304
H48Mg3N2O30P4,5.3562
B1H1O9P2Rb1Sc1,5.1907
Au1C2Na1,1.5531
Ba1Cl1F1,5.45
Be1F4H5Li1N2,5.3882
Cu2O5S1,1.146
F6Na1Rb2Y1,6.4612
Mo1O7Te1Zn2,3.3963
C12O12Ru4Se4,2.1881
Cl6Pt1Rb2,2.09
Bi2Cs1Cu1S4,0.7473
O7Ta2Th1,3.013
Ca2Pb1,0.0263
Cr2Si2Te6,0.6121
O7Sr3Ti2,2.3753
Cd1H2O4Se1,3.9324
F6Li1Os1,2.6774
Bi1C1Ca1F1O4,1.0677
Bi2Mn1Ni1O6,0.9801
K4O12Zr5,3.1804
Se1Yb1,1.4329
C8F4H25I1N2O2,4.5754
C2Cl14Si6,4.0164
Ag3P1S4,1.4312
F7K2Mn2Rb1,2.9703
Cr1Te3,0.5670000000000001
I2O4,1.4852
Cu1La1O1Te1,1.6685
Br2Hg3Se2,1.3157
Li1Nb1O4Zn1,2.887
H3O3P1,7.0879
F6Mn1Na1Rb2,1.7619
Ag1Ho1S2,1.3534
O6Pb3S1,2.9375
Gd1S2Tl1,1.5014
B3Ca5F1O9,4.2427
C10H14N8Ni1O2,1.3057
Ca1H2O5Si1Zn1,4.0931
Cs2F6Sn1,4.8193
Cu1H2O5Se1,1.7872
Rb4S14Ti3,1.6654
Na5O13P1Si2Ti2,3.0068
Ag3As1S3,1.4258
As1B1Ba3O3,1.521
F2O6S2Sn1,4.2281
B1Dy3O9W1,3.4152
K3P1,0.2239999999999999
B1Cs3P2,1.6923
Fe1Mo2Na1O8,1.9842
Cu1Ho2K1Mo4O16,1.4126
Cl2Cu5O8Se2,1.0234
Cd2Cl1P3,1.2284
Fe1S17U8,1.1617
K2O9Si4,4.6355
Cl5N3S4Se1,2.3406
As2Pt1Rb2,0.7981
Ba1Sc2Te4,0.6654
Ge1O12Pb2Se4,3.2992
Li2O5Si1V1,2.0719
Cl7Mn2Rb3,2.9960000000000004
Ni1P2,0.6698
F3Mo1,2.6978
Os1Si2,0.7329
B2O4Sr1,6.3724
C1K1N3O2,3.3303
B2Ba1F8,7.9858
I4Sn1,1.7705
As6C8H34N16O34V4,2.139
Cl14H20Mo6O9,3.0517
K2S1,2.3233
Mn1O5Se2,2.9130000000000003
Li2O7W2,3.5527
Cl9In5,3.0083
Al1H6La1,2.1807
H4Si1,5.8297
Mo3O12Tb2,3.4819
Al1As2Li3Mo2O14,2.8217
Cl8Nb3,0.6968
Bi6Cl20Te4,1.3185
C6Co1N6Na1Rb2,5.0626
B1Ba1F3O1,5.8785
Cl3Cr1Rb1,2.2155
Cr1F8H2K2,1.8837
B1Cu1S2,1.9361
K1O8P1Sb2,2.212
B1C2H10N5O3,4.541
Cl4Mn1Na2,4.0241
Bi1I1Te1,1.2292
Ag1Er1Te2,0.8652
Ca2I1N1,2.3546
Bi4Ge3O12,3.4662
Be1F4Tl2,4.4278
Cl1Cs1O4,5.4844
B2Ba3N4,2.5149
Rb1Si1,1.1362
Au1Cs1K2O2,2.2899
Cl3La1,4.4715
Nb4O15Sr5,2.7368
Ba1Fe1O10Si4,3.2807
Ag2O2Pd1,0.3164
C3N2,3.5011
Ce1Rb1S2,2.3962
Li1O6Sc1Si2,5.2631
Nd3O7Re1,0.3467
Ca10F2O24P6,5.5236
Li9O29P8V3,1.8455
Cu2O1,0.6532
F4O1W1,2.7896
B12Cl1H12Rb3,4.936
As4Ca3Ge2,0.6025
In1Se2Tl1,0.6923
Cl3Cs1Ge1,2.199
Er4O7S3Si2,2.6349
N1Na5O4W1,3.1168
P2S7Zr1,1.6598
Ge1O6Sr1Te1,2.9553
Cl18Cs2W6,1.0915
In1S3Sb1,1.4927
Ga1K1O2,3.1314
Cu1Se7Si1Tb3,1.5594
H11Na2O8P1,5.2388
F6Sn2,2.2442
Ba2Ge2Te5,0.6146
Nb2Ni1O6,3.1208
Cs2N12Pd1,1.9194
Ba1F2,6.6177
K6O26Si4Ta6,3.1537
Bi2Se3,0.3901
I6Rb2Te1,1.4976
B3O5Rb1,5.2909
C1N2Tl2,1.8886
Dy3O7Re1,0.7777
I5Nb1,1.0813
Ba1H9I1O5,3.5684
Al1Li1O6Si2,5.3557
Ge1Mg1N2,2.5882
Fe2K2Na2O20Si8,2.6768
C2H9N11O8,2.7725
Ca2O7P2,5.4227
K4S14Ti3,1.6263
F4Mn1Rb1,0.8087
Cr1F6Na1Rb2,4.2737
In1Li1Te2,1.4206
I5In1Sr2,2.7727
P1Pb1S4Tl1,2.0935
S3Sr1Zr1,1.1823
F6U1,3.8224
P1S4Sc1,2.0453
Os1P2,0.9187
Bi1Cs1F6,2.9058
K2Nb5O15Y1,1.9039
Cu4O9P2,1.1877
Cu1O7Sr1V2,1.983
O5U1V1,1.6043
C1Cl1Cu1O1,2.5815
C6Cs2K1N6Rh1,5.5405
Li2O2,1.977
F6In1K2Na1,5.348
Cl2Cu3O6Se2,1.1769
F2H1Na1,6.8301
Ba2C2F3O6Y1,5.2658
Ba2Mn1O3,1.7205
B2C2Mg1,1.3059
Ba3Cl2Fe2O5,2.237
Li2O12S3V2,2.9471
Al1Na1O4Si1,4.4812
Ca2Cl1Fe1O3,0.6618
Ir1P2,0.5159
Ba1In2Nd2O7,2.571
S2Tb1Tl1,1.5904
H6Li1N1O6,3.2732
Cd1Ga1In1S4,0.4163
B2Bi2O7Zn1,2.5956
Ag1In1Te2,0.4045
B3F6Na3O3,6.2446
Ca1Co1F6Li1,2.8809
Br4Ga1Na1,3.4898
Cl1Er1O3Se1,4.3434
O2S1,2.8414
Ge1Li1O4Sc1,3.8994
Cr1Mg1O4,2.4071
B2Mo1O12Pb6,2.3681
K1Ni1O4P1,2.9853
Al2H3O9P3,6.27
Ba4Nd4O15Pt1Zn3,2.443
F8N2O2Xe1,2.1602
Bi2O7Ti2,2.7755
Al1F6Na1Rb2,6.8031
Cl1Cr1O4Sr2,1.0949
Cd2O12S3Tl2,4.1314
Cl2N2S3,1.6965
Mo1S2,1.2771
As1Ca1H1O5Zn1,3.1016
Ge1Mn1O3,1.7228
Ce3Cu1S7Si1,1.6553
Ca1O6Si2Zn1,4.4895
Cu3Se4V1,1.0590000000000002
Ba2K8O24U6,2.8745
Cu1Sb1Se2,0.7206
Cu1Er1O8W2,1.4433
Al1Sb1,1.2271
Cl3Cs1Yb1,3.0729
Ho1S3Sc1,1.9834
Ca9In1O28P7,4.4412
Li1Nb1O2,1.6572
Ag1K2S4V1,1.2061
Ga2Hg1Te4,0.6882
F4Fe1Na1,2.9994
F6Li1Ni1Sr1,2.0085
F1Na3O4W1,4.502
F3N3S3,2.5925
H2K1N1,2.0780000000000003
Ba2O6W1Zn1,2.9874
In1Na3O4Rb2,1.977
Cl1Li4N1,1.771
Al2Be1O4,6.1314
Cu1F1H4O5P1,1.7203
Cr2Mg3O12Si3,3.5782
Cu1In1Mo2O8,0.7201
Ge4H4Na4O16Sn2,2.397
O5Ta2,0.4342
Cu3Se4Ta1,1.8038
Bi2O5Sr2,2.2722
As1H6N1O4,4.0167
Ba4Li1N7W2,1.9911
Ag3K3Se8Ta2,2.1594
F1Mg1Na1O4S1,5.5939
Ga1I3,2.3087
Al1Nb1O4,3.6135
Mn1Ni1O3,1.5456
C2Cs1F2Ga1H6,4.2069
Cl2Cr1,2.3375
Co2P2S6,1.2999
Ga1K1O14Te6,2.977
Bi2H16Na6O14,3.9423
Cl1O12Sr5V3,3.9298
H9N1O13Y4,3.213
Ga1Na1O6Si2,4.2568
S4Y2Zn1,0.7464
Cl1Cs1,4.9953
Al1Cu1Te2,1.2869
Cl4Cr1H18K1N6O8,1.2031
I14Mo6Pb1,1.9883
Ca1Mo1O4,3.3476
I5In1Pb2,1.8539
F2I1N1O1S1,2.196
B2Ce3Cl3O6,4.4168
Al2Mg1O4,5.1112
O5V2,1.4079
F1O1Sb1,3.3005
Cd2P2Se6,1.129
Fe1O4V1,1.9091
Au1K3Se13,0.6554
Na1O12P3Sn2,2.8794
As1F5,4.5671
Br1Na1,4.1148
C2Cl1N2Ni1Rb1,3.1037
Cl2Cr1H12I1N4,2.7465
F3Sc1,6.5705
C1Ca4N4,1.8009
Cd4S6Si1,1.5094
O8Pb1Re2,3.8298
Br2Cd1,2.8581
Ge2Na2Se5,1.5313
O9Te4,2.2302
O8Rb1S2Tl1,1.9786
Na1O7P2Y1,5.2755
Ba2Cr1O6Ta1,2.3495
Ca2Nb3O10Rb1,1.8503
Cu1K1Na2O2,1.7827
Cd1Ho2S4,1.153
N2Sr1Ti1,1.4463
As3Na1Zn4,0.3239
Be6Mn8O24Se2Si6,2.987
Cl18Nb6Rb4,1.1295
Co7K4O14,0.2439
Cs1Cu5S3,0.9994
Br8Nb3,0.4697
Na4Sn1Te4,0.971
C5I1O5Re1,2.2912
Cl5K1Sn2,2.986
Cu2O5Y2,1.521
In1O7P2Rb1,3.9432
Ba5O15Ta4,3.1019
Au1F4K1,2.8813
As2Ir1,0.7405
In1Li1Se2,1.6849
Co3Fe4O24P6,1.8742
Li1N1O3,2.9816
B3H6N3,5.351
Be4C6K6O19,4.7794
Co1O6Ta2,3.0626
Ge1Li2Zn1,0.0295
Br4Cs2I2Pd1,0.843
Nb1Rb3S4,2.5966
Nd1Rb1Te2,1.359
Cl4Cu1H4K2O2,1.6449
Ni3Sb4U3,0.35
Al6Br2Ge6Li8O24,3.6479
Ba1Na1O7Sc1Si2,4.5311
C2Cl2H12K1N2O4P1Pt1,3.1497
H4N4,3.5944
Cu1Nb2O6,1.8258
Ca2Cu1P3Zn2,0.3047
Ca1Mn2O4,1.2693
Ag1As1Na2,0.7896
Ca1Ga2S4,2.6423
Cl4H8Si5,3.7613
Be6Mn8O24S2Si6,3.141
F3Mg1Na1,5.9285
P4Ru1,1.3632
As2Ni2O7,1.5104
Al1N1Na3O9P3,5.0104
P2Rh1,0.2491
Eu1K1O4P1,2.9458
Li4Mo5O17,3.0228
Mn1O6Sb2,0.6059
F4Te1,3.9885
Hg2Se4Sn1,0.1464
S2Sn1,1.3672
Cl1N5S5,1.4968
Fe1H6Sr2,3.0278
O7Tl4V2,2.588
Pd3Rb2S6U1,1.4902
Cl1Hf1N1,2.2039
Mo3O8Sc1Zn1,0.1968
Nb2O6Sn1,2.1284
Cr1K3O8,1.8178
O5Si2Sr1,4.0732
Li2O5Si2,5.2436
Ce1F3,4.7534
Co1H4K2O10Se2,3.1529
Bi1K1O8W2,2.7794
Dy1H4K1O9P2,4.6743
Eu2I1P1,0.8407
O7P2Zr1,4.4732
Al2Hg1Te4,1.1042
Cl6K2Pu1,0.3081
As2H3Li1O7,1.9624
Fe1Rh2Se4,0.2173
I1K1O4,2.3318
Sb1Zn1,0.1679
Cd2O7Sb2,0.6509
O4Tb1V1,2.9659
Li2O7Sr1Ta2,2.5345
Li4Mo3O8,1.409
O3Sn1Ti1,1.7288
As5S8Tl1,1.5664
Xe1,6.2111
O4Si1Ti1,2.1486
O4Sn1W1,3.9241
Ba1O8Te1V2,2.5109
O3,1.1997
Ga2H3O9P3,5.275
Co1Li6O4,3.195
O2S1Y2,2.9901
Ag3As1Se3,1.2365
H8Ni1O16P4Tl2,2.5132
Ba1Hf1N2,1.2452
Cs1H1Mn1O10P3,2.2761
B1H7Li1N1,5.6633
B1F4H2N3S3,2.2729
C6Cr1Cs2Li1N6,3.7778
Tc6Te15,0.6117
F6Na2U1,3.4221
Fe1H4K2O10S2,3.6167
Fe1Mo1O6Sr2,1.5162
F6H8N2Si1,6.5713
Bi2O4Sr1,2.6891
Br6Hg7P4,1.3199
Ba2Ca1O6W1,2.8561
Ag1Te2Y1,0.8745
Be1F3H4N1,6.479
P2Sn1Zn1,0.6787
C3Co1N3Sr3,1.0322
Dy2Mo4O18Sb2,3.1126
Br2Re6Se8,0.835
Co1O4S1,4.0099
Ag1K2S4Sb1,1.4423
C2Li2,3.306
Cd1In2S4,1.1992
La1P2,0.3381
P4Ru1Si4,1.5808
I1K3O1,1.0374
F2O1Se1,4.1516
Er2S3,1.1627
Fe2La3S7,0.7964
F1Gd1O1,4.5806
Cl5Sb1,1.8558
F7K2Pa1,3.9971
I2Li5S3Sb1,2.5031
O1Pr1Sb1Zn1,0.2617
C4F1H12N1O4Os1,2.5624
Hf1Te4Tl4,0.4348
O7Pr3Sb1,2.6482
Al1F9H2O1Pb3,4.6619
O13Sr2Ti6,1.3471
Hg2I1Na1O2,1.3815
Ba6Ga2P6,0.6027
Fe1Ni1O5P1,1.8915
Hg3O5Se4,1.8899
Ba1K4O9Si3,4.2213
Br9Cs3Y2,4.025
F5Te1Tl1,4.4606
Cs1Na1O3Ti1,3.7336
Al2O9Y4,4.3179
As2H2K1O8Sc1,3.838
Cl2Co5O12Te4,3.1669
Br4Cs1Ga1,3.3648
Cu2O2Tl1,0.7024
C1Ni1O3,3.0966
Cl1Gd1O3Se1,4.3453
N2O6Sr1,3.7135
Na2O4S1,4.9761
Bi1F6K1,2.9088
Ag6Ge2O7,0.2506
Mg3O6Te1,2.8942
F13Rb1Th3,6.644
O6V2Zn1,2.4365
Bi24O40Si2,2.4215
Al2N4Sr3,1.9085
Br9K3Mo2,1.0849
As1F6N5S4,2.4442
C1Ca1N2,3.5558
Ba2Br2O1,3.3145
Fe1Na2O4,1.2168
K1O3Ta1,2.3223
H2O5S1Zn1,4.8567
Ho3O6Sc1,4.3807
C1Ca1H12O9,4.9139
Ba1Mo6S8,0.1485
Ga1Li3Na2O4,3.2993
Co1K2S2,2.1099
Cu1La3S7Sn1,1.692
Mo2O16P4Sr1,0.9407
Be2Ca1P2,0.7307
Cu3K3S8Ta2,2.4555
Ba1La2O7Sc2,3.7966
Fe1O7P2Rb1,2.3136
F15Mn1Na5Zr2,3.785
In2Rb4S5,2.1364
H4O9P2V1,2.2866
Ba2Nb1O6Y1,3.0843
Er1Li1O2,4.1293
K2O4U1,2.8751
O5Sr2U1,3.1449
F1H6N1Na1O4P1,3.4705
C6Cr1O6,1.2999
Ge2K2O6Zn1,3.1089
Ge1Hf1O4,4.0601
Ge2N2O1,2.5168
Li1Mn1O4,1.5055
K1Li1O7P2Zn1,4.6458
Li2Se3Te1,0.5334
Ba3In2O6,0.9182
Hg1I6Tl4,1.1361
C5Ir4,0.4923
Ho3La1S6,1.0304
Hf1N2Sr1,0.3161
Br2C6H18N4S4,3.3787
Cu4P10Sn1,0.609
B5Ba2Li1O10,4.9214
H3K1N1O3P1,4.1174
F6Pb1Zn1,2.5413
C2Ca1H10Na2O11,4.6268
Al2O6Rb6,2.6592
O6Pt1Sr3Zn1,2.9810000000000003
Cd1Li2S4Sn1,1.7731
Ca4O1P2,1.2729
Hf1O8Te3,3.8507
Cu2K1Se4V1,1.0643
Cd1Fe2O4,1.5426
O9S2Zn3,4.1937
Mg2Sb2Yb1,0.6498
Mg2O8Te3,3.4598
Eu2O7Ti2,0.2856
Ba1Gd2O10Si3,4.6625
Ni3O6Te1,1.7084
Cu1Li2Sb1,0.5017
As3F1O12Sr5,3.9143
As2Cu3O8,1.1303
Cl6I1P1,1.7635
O4P1Tl1,0.7108
Ag3Ce1K2Te4,0.9785
Br3C1Li1N2Sr2,3.9829
Cd1O3Sn1,0.4537
Lu2O3,4.0078
Gd2O7Ti2,3.2742
As3Br1Cd2,0.7898
Cl4Te1,3.1412
Br3Cs1Mn1,3.1991
F4Fe1K1,2.7244
Ca1H5O6P1,4.5596
Gd1H2Na1O9S2,5.4779
Fe1K2P2S6,1.7579
O8P2Sr1Zr1,4.0926
Hg1O14P4V2,1.0656
Ca2Ge1S4,2.498
Br6Dy1Li1Rb2,4.1921
K1Mg1O4P1,4.592
H1N3Si2,3.9838
Ge2K2Pb1S6,2.1639
As4Ge1Te7,0.363
Ni1O10P2V2,1.8635
Al2O5Ti1,3.4311
C1H4N2O2S1,2.9514
B1F4In1,4.5543
Cr1O6Te1Y1,2.7781
B6Br1K3O10,5.2096
Cu1F6K2Na1,1.6931
Ca5Co2N4,0.8072
C2H6O6S2Zn1,3.9555
Ba2H1N1,1.0934
Bi1Rb1S2,1.3503
C2Eu1,0.4881
Ba2Er1Nb1O6,3.0934
Al1H6K2Li1,2.4832
Cl3Mo1O1,2.1089
Cr1Cs1P2S7,2.0562
I3Mn1Tl1,2.3126
O7P2Rb1V1,1.6959
Dy3Fe1Ga1Se7,1.3962
Cl2Cs1Cu2I1,2.4821
Be1K1O4P1,5.2392
Cu1Na1O2,0.8059
Al4Bi4Cl16Se4,2.6018
Ba1Cu2O8V2,1.3779
Cu1Ho3Se7Si1,1.6565
Au1O2Rb1,1.7621
As2H4O9V1,2.3413
Ba3S5Si1,2.8106
Br5La2,0.35
Na4O16Th1W4,4.588
Cu1H4O4P2,2.3415
C2Cl1H8N1,5.3927
In1P1S4,2.3877
Al2Ca1H6O13Si3,5.0345
Cl2N2S2Se1,1.7654
C3H3O6Sc1,3.7167
Ba1O2Zn1,2.7836
Al2F12Li3Na3,7.09
O4Sb2,1.8861
Cs1F3Mg1,6.7047
Se1V1,0.7125
Cl3Co1Tl1,2.5139
Ag10O13Si4,0.7714
Fe2O8P2Sr1,3.3768
Ag1F6Ti1,1.9688
Cs1O12Se2V3,2.3299
Co1Gd1O3,0.9779
La2Li2O10Ti3,2.5286
Ba3Cr2S6,1.0155
Ag1Cr1S2,2.0765
O4Se1V1,1.7217
As2Rh1,0.2208
Cl3Mo1N1,1.8712
B1Na3O8P2,5.1733
Cs2Hg1I4,2.0078
F11Na1Ni1Zr2,4.9654
Gd1K1O12P4,5.3267
Al1Au1O2,0.9622
Cl1F1Sr1,5.9298
Ba2O7P2,5.1457
F4Mo1O1,3.9131
B2Ca1O8Si2,5.6591
Cr1Cu1O4,1.0843
Ba1In2La2O7,2.6364
Br2C4H11N1,3.9373
Cl8O12Si4Sr8,5.1009
F6K2Ti1,5.2108
Al1F4Rb1,6.9501
Cu5Li2O14Si4,1.5982
K3S4V1,1.7799
O3Pb1Te1,2.6943
B1K3P2,1.649
B2Ba4N4O1,2.8052
Mn1N2O6,2.7714
F3Tb1,7.7423
Li2O14Sr1Ti6,3.2233
Br1In1,1.1846
Cd3K2Se4,1.4777
Fe2Mo5Na3O16,1.0665
Li2O3Re1,0.7919
Au7I1P10,0.7518
I2O6Pb3Se2,2.7185
C2H13Li1N4,4.5459
O12S3Sc2,4.7330000000000005
N12P6S1Zn4,4.5708
La3Li5O12Ta2,4.0647
Bi1F7Kr1,2.4495
Mn3O6Te1,1.1997
As2Cl13Sb1,1.1879
Ru1Sb1V1,0.6518
Ag8S6Si1,0.9747
C2Cd1Cl3H8N1,4.1682
Al6Ge6I2Li8O24,3.1355
Ge1I3Rb1,0.5529999999999999
Os1Se2,0.259
F5O4Tc1Xe1,2.1089
F2Sr1,6.7798
Na4S4Sn1,1.9182
Al1Cl4Na1,5.1733
F9K1U2,3.6076
Cl6Cs2Ge1,2.1983
Mo1O4Sr1,3.6652
Al2Br8Ti1,2.9716
Ga2Os1,0.7167
B4H16N2,5.7249
Cu2Mn1Se4Si1,0.8898
Er2Se4Yb1,1.1078
Ba3Nb6O26Si4,2.5687
O7P2Th1,5.3833
Ag1Cl1,1.9594
H1O8Se2Tl1U1,1.2835
Cu3F4O12P4Rb2,1.719
Al2C1Ca4H22O20,4.3084
Cl6K2Tc2,2.2552
Ba3O3S4V2,0.9201
Cu1Eu1F1Se1,1.2698
Cr1I3Rb1,1.5458
Cl1Fe1Mo1O4,1.946
Se2Si1,2.1076
C4Cs2O4,2.6864
B3Ba4N6Na1,2.0496
C18H8O18Os6Pt1,2.2182
Ge2Li2O5,3.0434
O7Pb2Sb2,1.6235
B3Se10Tl3,1.3344
Cu1Dy2Rb1Se4,1.0678
Al1B1H3Na1O10P2,5.7813
Cl1Cu3O8Se2Y1,1.3065
Al1Li3N2,2.9381
Cd1Cr2Se4,1.6008
Au1Bi5Na2O11,0.9047
Ba1O5Se2,3.3775
Cr5Se8Tl1,0.2027
Cl11P1W4,0.6173
Te1Yb1,1.2874
Cs3F7Mn1,1.5381
Br3Pr1,2.8
Br1In5S5,1.1539
Ag1C2N3,3.8945
Be1Ca1F1O4P1,5.1581
Cl1K1O3,5.4653
C3N4,3.772
Cd1F6Ti1,4.9024
F2H4O1,7.0443
Cd1I6Tl4,2.1871
Ba1C1Si1,0.3017
Na6P4Pb3S16,2.3332
Ag4Mn3O8,0.9257
I4Mn2O12,2.8437
H1O8Rb3S2,5.2433
Br9Cs3Tb2,4.1296
Cl2Nb1S2,1.8629
La2Mn2O3Se2,2.272
Ba2Bi1O6Sb1,1.7767
C1Cu1N1S1,2.4282
K2Ni2O12S3,3.4739
Fe2O5Rb4,1.9433
Cl1Cu1F10,0.2875
Al4C1N3O1,0.1589
B1C3F4H10N1,7.4024
Bi1I6Tl3,2.4839
Mn1O7Te1V2,1.7526
Cs3H1O8Se2,3.7174
Br2H10N2O2,3.5205
C1Ca1H2O4,5.2308
F12H1I2K1,4.5128
Cd2P2Sr1,0.8125
Ca1Mg2Sb2,0.8074
Ba2Co1O8P2,3.5497
Au1Ga1O2,0.2012
Cu8S6Si1,0.9587
Cu2Eu1S4Sn1,0.6899
C2Ca1O6Sr1,4.7895
Al12Ca8O24S2,3.7202
As1Ru1Te1,1.0590000000000002
Nd1O4Os1,0.416
Ca2N3P1,2.5916
C6Cu5Na1,2.0874
Al2Ba7O19Sc6,2.5119
H4Mg10O18Si3,4.9289
H2O8Pb4S1,2.7869
Ca1Fe1O2,4.4275
Mg3P2,1.1048
Ba1O9Ti4,3.1942
In4Te3,0.087
Nb1P2S8,1.511
Ca1S4Y2,1.5312
Cu2S4W1,1.5744
B5Ca2Cl1H2O10,5.013
H4I1N1O4,2.4219
Ag1K1O1,1.504
Br3Cs1V1,2.3682
Br2Hg3S2,1.4729
K1O5Te1V1,3.2728
Ba2Sb2Zn1,0.3773
K1Na1Nd1O5Ta1,3.6201
Cr1F6Nb1,1.4033
As1S1,2.0748
Ca1Ge1O8P2,3.8396
H7K1N3Na2O8P3,4.7813
C1Cs1N1S1,4.3242
Mo2O8U1,0.5559
C6Cl3H21N2,5.3071
As1F9O1S1,3.9099
Ca2K2O12S3,5.3116
Cr1Cu1O2,2.5903
Br2Re6S8,1.0925
Ba1La2O5Pt1,2.8437
Rb1S8V5,0.6755
Al1Fe1S7Tb3,1.7901
C1H4Mo1N2O4,2.9289
H3Li1Sr1,1.8148
Ba1Se1,1.9488
